model,n_centroids,n_probe,query_method,index_build_time,Query Time,Queries per second,Top-K Vote Accuracy,Top-K Average Accuracy,Mean Average Precision (MAP),Normalized Discounted Cumulative Gain (nDCG),Mean Reciprocal Rank (MRR),Top-K Vote Accuracy_gini,Top-K Vote Accuracy_celltype_gini,Top-K Average Accuracy_gini,Top-K Average Accuracy_celltype_gini,MAP_gini,MAP_celltype_gini,nDCG_gini,nDCG_celltype_gini,MRR_gini,MRR_celltype_gini,Average Entropy,Average α-NDCG
scimilarity,32,2,Smart-seq2,0.0352883338928222,0.0047719478607177,110227.52455658256,0.8650190114068441,0.8502281368821292,0.8642188244333137,0.914396993859157,0.8875426316465292,0.1349809885931558,0.0513127590690257,0.1404877585108386,0.0526867438098522,0.1271073343478334,0.0496966410421419,0.0804027865669524,0.0331756927437466,0.1105103018635083,0.0545102302298021,1.505795950078739,0.8450341917743821
scimilarity,32,4,Smart-seq2,0.0352883338928222,0.0061829090118408,85073.22346045579,0.8669201520912547,0.8504942965779468,0.8637985678110908,0.9135793408579856,0.8860853167814198,0.1330798479087452,0.050799597939754,0.1403634741646145,0.0526584307556503,0.1278078431296451,0.049688408159814,0.0812868836373415,0.033232463994913,0.1119455013373205,0.0545414942716778,1.5033168570481508,0.8445392710246573
scimilarity,32,8,Smart-seq2,0.0352883338928222,0.0109739303588867,47931.77856956635,0.8669201520912547,0.8501520912547528,0.8636734785171392,0.91346481473235,0.886065187056526,0.1330798479087452,0.050799597939754,0.1405748095755805,0.0526615441809598,0.1279087670038573,0.04975014838799,0.0814067259119945,0.0332723281387289,0.1119691982449541,0.0545423216769836,1.5035994629212976,0.8445159143461255
scimilarity,32,16,Smart-seq2,0.0352883338928222,0.0186324119567871,28230.376250799745,0.8669201520912547,0.8500760456273764,0.8635947960534394,0.9134003084631648,0.886065187056526,0.1330798479087452,0.050799597939754,0.1406562638661171,0.0527795680647283,0.128004048081248,0.0499162352036415,0.0814751334570215,0.0333786123070149,0.1119691982449541,0.0545423216769836,1.5029514417600645,0.8444981277728343
scimilarity,32,1,inDrops,0.0337345600128173,0.0191104412078857,344523.7045224877,0.8456865127582017,0.7945109356014581,0.8208912149035789,0.8996751942886265,0.8661108973009345,0.1543134872417983,0.1822812752870538,0.1759500329230237,0.1845358801204819,0.152260061658547,0.1462475858664353,0.0872290042854917,0.0972861020586684,0.1295348170532358,0.12024776334948,1.6955937251832949,0.7983644338325622
scimilarity,32,2,inDrops,0.0337345600128173,0.0313081741333007,210296.5178348412,0.8695321992709599,0.8102004860267316,0.8262336592026766,0.903779976582828,0.86558177830073,0.1304678007290401,0.1509462498014296,0.1607572836426963,0.1652268302424653,0.1479291173952522,0.145844474386578,0.0834429254176992,0.0935268653649625,0.1297440751521738,0.1213421023139143,1.7081817544955562,0.8032557198132309
scimilarity,32,4,inDrops,0.0337345600128173,0.0515403747558593,127744.51158315448,0.8754556500607533,0.8127156743620899,0.8269338075133963,0.9046425764931428,0.8661341807134054,0.1245443499392466,0.1356990950391963,0.1581057491173076,0.1596981039233654,0.1471659466499437,0.146051500055003,0.0825523467312097,0.0928474479027106,0.1292006540358075,0.1219587885155602,1.7062242960459575,0.8040893296264463
scimilarity,32,8,inDrops,0.0337345600128173,0.0896780490875244,73418.1894788335,0.8754556500607533,0.8127339003645201,0.8269054283038019,0.9048512524099208,0.8663357599037355,0.1245443499392466,0.1357335910984338,0.1579387383915693,0.1596040837743017,0.1471174264734932,0.1461900314488413,0.0822934438522533,0.0931585026028598,0.1289904847627793,0.1223956371827976,1.7071542492768514,0.8041194213436992
scimilarity,32,16,inDrops,0.0337345600128173,0.1697947978973388,38776.21741969274,0.8754556500607533,0.8127430133657352,0.8268752329174829,0.9048730133278676,0.8663211398394278,0.1245443499392466,0.1357335910984338,0.1579186515585121,0.1596272160887121,0.1471322130647964,0.1461954632987891,0.0822613038670593,0.0932189136933532,0.1290064587506813,0.1223941192893992,1.707132092198098,0.804124944590625
scimilarity,64,1,10x Chromium (v2),0.1115312576293945,0.008591890335083,391299.2215778228,0.9330755502676978,0.913658536585366,0.9218499031903632,0.9580923870612624,0.9430499024443032,0.0669244497323022,0.0356763202576203,0.0800396033642882,0.0497869155067095,0.0728165852071522,0.0431597512296144,0.0392798635508178,0.0236450860693331,0.056177153306174,0.0349017364433122,1.646374892081728,0.9128456540282568
scimilarity,64,2,10x Chromium (v2),0.1115312576293945,0.0120074748992919,279992.2571729246,0.933372992266508,0.9142891136228436,0.9213897812305004,0.9574099925647628,0.941643436807524,0.0666270077334919,0.0346054860235671,0.0794333670702076,0.0495870726087154,0.0733152186283851,0.043429747998473,0.0399789931676491,0.0240481000658428,0.0575871899420221,0.0355963868151665,1.7250356393956332,0.9129516659788416
scimilarity,64,4,10x Chromium (v2),0.1115312576293945,0.014847993850708,226427.89549914093,0.9363474122546104,0.9143426531826294,0.9216215839882164,0.9577662997610956,0.943732197744408,0.0636525877453896,0.0324281448473389,0.0794005722328786,0.0476775575850485,0.0731131794550557,0.0440318653958013,0.0396561562118931,0.024187721306546,0.0555771980388644,0.0351011632998492,1.7421063958343896,0.913931566981224
scimilarity,64,8,10x Chromium (v2),0.1115312576293945,0.030851125717163,108974.95380953484,0.9366448542534206,0.9139440809042236,0.9212516490301936,0.9576761383097284,0.9432378378508808,0.0633551457465794,0.0324459805420763,0.0797592015022232,0.0476178124516753,0.0734633665058388,0.0440222632327317,0.0397200100103473,0.0240530035502329,0.0560485273044628,0.0349919904390803,1.7453878254114503,0.9138155390673112
scimilarity,64,16,10x Chromium (v2),0.1115312576293945,0.0580699443817138,57895.69864059812,0.9363474122546104,0.913837001784652,0.9213742155873028,0.9578575149550664,0.943386558850286,0.0636525877453896,0.0326023046343191,0.0798589091422316,0.0476248325672644,0.0733262773204413,0.04258190527719,0.0395278120504195,0.0223635016493468,0.0558923773495823,0.0334446684577236,1.7455298485186992,0.9138920340909352
scimilarity,64,32,10x Chromium (v2),0.1115312576293945,0.1106204986572265,30392.197113643808,0.9363474122546104,0.9138726948245092,0.9214211388008376,0.9579310770907286,0.943535279849691,0.0636525877453896,0.0326023046343191,0.0798161252294945,0.0475628711453798,0.0732858764624398,0.0416203755156073,0.0394585590379794,0.021589670113863,0.0557513102733662,0.0320613307330909,1.7455788449086131,0.9139759974222152
